"","calibrated","logger","Date","Time"
"407",0,1,2022-03-08,"04:50:00"
"408",0,1,2022-03-08,"05:00:00"
"409",0,1,2022-03-08,"05:10:00"
"410",0,1,2022-03-08,"05:20:00"
"411",0,1,2022-03-08,"05:30:00"
"412",0,1,2022-03-08,"05:40:00"
"413",3,1,2022-03-08,"05:50:00"
"414",35.3,1,2022-03-08,"06:00:00"
"415",141.1,1,2022-03-08,"06:10:00"
"416",330.7,1,2022-03-08,"06:20:00"
"417",562.6,1,2022-03-08,"06:30:00"
"418",926.5,1,2022-03-08,"06:40:00"
"419",1357,1,2022-03-08,"06:50:00"
"420",1801.6,1,2022-03-08,"07:00:00"
"421",2269.4,1,2022-03-08,"07:10:00"
"422",2770.5,1,2022-03-08,"07:20:00"
"423",3378.4,1,2022-03-08,"07:30:00"
"424",3875.5,1,2022-03-08,"07:40:00"
"425",4403.8,1,2022-03-08,"07:50:00"
"426",4982.5,1,2022-03-08,"08:00:00"
"427",5485.5,1,2022-03-08,"08:10:00"
"428",6041.1,1,2022-03-08,"08:20:00"
"429",6541.1,1,2022-03-08,"08:30:00"
"430",7168.2,1,2022-03-08,"08:40:00"
"431",7721.7,1,2022-03-08,"08:50:00"
"432",8316.5,1,2022-03-08,"09:00:00"
"433",8852.9,1,2022-03-08,"09:10:00"
"434",9591.9,1,2022-03-08,"09:20:00"
"435",10100,1,2022-03-08,"09:30:00"
"436",10622.3,1,2022-03-08,"09:40:00"
"437",11102.2,1,2022-03-08,"09:50:00"
"438",11635.5,1,2022-03-08,"10:00:00"
"439",12092.2,1,2022-03-08,"10:10:00"
"440",12671.9,1,2022-03-08,"10:20:00"
"441",13044.9,1,2022-03-08,"10:30:00"
"442",13306.1,1,2022-03-08,"10:40:00"
"443",13629.7,1,2022-03-08,"10:50:00"
"444",13730.5,1,2022-03-08,"11:00:00"
"445",13504.7,1,2022-03-08,"11:10:00"
"446",13934.2,1,2022-03-08,"11:20:00"
"447",13882.7,1,2022-03-08,"11:30:00"
"448",14432.2,1,2022-03-08,"11:40:00"
"449",14230.6,1,2022-03-08,"11:50:00"
"450",14065.2,1,2022-03-08,"12:00:00"
"451",14331.4,1,2022-03-08,"12:10:00"
"452",14717.5,1,2022-03-08,"12:20:00"
"453",14638.9,1,2022-03-08,"12:30:00"
"454",14655,1,2022-03-08,"12:40:00"
"455",14198.3,1,2022-03-08,"12:50:00"
"456",14073.3,1,2022-03-08,"13:00:00"
"457",13683.1,1,2022-03-08,"13:10:00"
"458",13344.4,1,2022-03-08,"13:20:00"
"459",12601.3,1,2022-03-08,"13:30:00"
"460",12526.7,1,2022-03-08,"13:40:00"
"461",12230.3,1,2022-03-08,"13:50:00"
"462",11710.1,1,2022-03-08,"14:00:00"
"463",11687.9,1,2022-03-08,"14:10:00"
"464",11310.9,1,2022-03-08,"14:20:00"
"465",10976.1,1,2022-03-08,"14:30:00"
"466",10616.2,1,2022-03-08,"14:40:00"
"467",10274.4,1,2022-03-08,"14:50:00"
"468",9262.2,1,2022-03-08,"15:00:00"
"469",8883.1,1,2022-03-08,"15:10:00"
"470",8373,1,2022-03-08,"15:20:00"
"471",7538.2,1,2022-03-08,"15:30:00"
"472",7395.1,1,2022-03-08,"15:40:00"
"473",6635.9,1,2022-03-08,"15:50:00"
"474",6166.1,1,2022-03-08,"16:00:00"
"475",5605.5,1,2022-03-08,"16:10:00"
"476",5079.2,1,2022-03-08,"16:20:00"
"477",4676,1,2022-03-08,"16:30:00"
"478",3935,1,2022-03-08,"16:40:00"
"479",3304.8,1,2022-03-08,"16:50:00"
"480",2752.4,1,2022-03-08,"17:00:00"
"481",2389.4,1,2022-03-08,"17:10:00"
"482",1645.4,1,2022-03-08,"17:20:00"
"483",1499.2,1,2022-03-08,"17:30:00"
"484",1175.5,1,2022-03-08,"17:40:00"
"485",910.4,1,2022-03-08,"17:50:00"
"486",523.2,1,2022-03-08,"18:00:00"
"487",274.2,1,2022-03-08,"18:10:00"
"488",103.8,1,2022-03-08,"18:20:00"
"489",23.2,1,2022-03-08,"18:30:00"
"490",2,1,2022-03-08,"18:40:00"
"491",0,1,2022-03-08,"18:50:00"
"492",0,1,2022-03-08,"19:00:00"
"493",0,1,2022-03-08,"19:10:00"
"494",0,1,2022-03-08,"19:20:00"
"495",0,1,2022-03-08,"19:30:00"
"496",0,1,2022-03-08,"19:40:00"
"497",0,1,2022-03-08,"19:50:00"
"498",0,1,2022-03-08,"20:00:00"
"499",0,1,2022-03-08,"20:10:00"
"500",0,1,2022-03-08,"20:20:00"
"501",0,1,2022-03-08,"20:30:00"
"502",0,1,2022-03-08,"20:40:00"
"503",0,1,2022-03-08,"20:50:00"
"504",0,1,2022-03-08,"21:00:00"
"505",0,1,2022-03-08,"21:10:00"
"506",0,1,2022-03-08,"21:20:00"
"507",0,1,2022-03-08,"21:30:00"
"508",0,1,2022-03-08,"21:40:00"
"509",0,1,2022-03-08,"21:50:00"
"510",0,1,2022-03-08,"22:00:00"
"511",0,1,2022-03-08,"22:10:00"
"512",0,1,2022-03-08,"22:20:00"
"513",0,1,2022-03-08,"22:30:00"
"514",0,1,2022-03-08,"22:40:00"
"515",0,1,2022-03-08,"22:50:00"
"516",0,1,2022-03-08,"23:00:00"
"517",0,1,2022-03-08,"23:10:00"
"518",0,1,2022-03-08,"23:20:00"
"519",0,1,2022-03-08,"23:30:00"
"520",0,1,2022-03-08,"23:40:00"
"521",0,1,2022-03-08,"23:50:00"
"522",0,1,2022-03-09,NA
"523",0,1,2022-03-09,"00:10:00"
"524",0,1,2022-03-09,"00:20:00"
"525",0,1,2022-03-09,"00:30:00"
"526",0,1,2022-03-09,"00:40:00"
"527",0,1,2022-03-09,"00:50:00"
"528",0,1,2022-03-09,"01:00:00"
"529",0,1,2022-03-09,"01:10:00"
"530",0,1,2022-03-09,"01:20:00"
"531",0,1,2022-03-09,"01:30:00"
"532",0,1,2022-03-09,"01:40:00"
"533",0,1,2022-03-09,"01:50:00"
"534",0,1,2022-03-09,"02:00:00"
"535",0,1,2022-03-09,"02:10:00"
"536",0,1,2022-03-09,"02:20:00"
"537",0,1,2022-03-09,"02:30:00"
"538",0,1,2022-03-09,"02:40:00"
"539",0,1,2022-03-09,"02:50:00"
"540",0,1,2022-03-09,"03:00:00"
"541",0,1,2022-03-09,"03:10:00"
"542",0,1,2022-03-09,"03:20:00"
"543",0,1,2022-03-09,"03:30:00"
"544",0,1,2022-03-09,"03:40:00"
"545",0,1,2022-03-09,"03:50:00"
"546",0,1,2022-03-09,"04:00:00"
"547",0,1,2022-03-09,"04:10:00"
"548",0,1,2022-03-09,"04:20:00"
"549",0,1,2022-03-09,"04:30:00"
